index,A,B,C,beta,omega,phi,tc_delta,mse_resid,oscillations,damping_factor,min_rel_err,max_rel_err
0,6.592021472012043,-0.7756281955152007,0.004295187961947375,0.1,6.0,0.0,1.0,0.0002424653412032373,3.8608295666989387,3.0096789026338766,-0.042170790139589874,0.02980187253440464
0,6.651467583644602,-0.8453824552232594,0.006413319613498711,0.1,6.0,0.0,2.0,0.00021647934916729637,3.2155306571704427,2.1969445523030546,-0.04105874499683061,0.02639461183061471
0,6.697597806290798,-0.8984803221012774,0.007556600081253417,0.1,6.0,0.0,3.0,0.000206476160549716,2.8446639813411436,1.9816679292279595,-0.039332275045675276,0.02483057095642083
0,6.744052057394564,-0.9520023622170779,0.0073720469311044645,0.1,6.0,0.0,4.0,0.00020635434257457367,2.585997453878508,2.152279575161926,-0.036803654404267916,0.025073854655941318
0,6.590343170519342,-0.77332819572716,0.005125634824178132,0.1,6.0,0.1,1.0,0.0002399214989920553,3.8608295666989387,2.514576965436859,-0.0425613735497621,0.02958878327047783
0,6.649626465179368,-0.8428657132131838,0.007148859046355073,0.1,6.0,0.1,2.0,0.00021329206491612428,3.2155306571704427,1.9650355106733863,-0.04111347118821555,0.026444987626379528
0,6.695375349389854,-0.8955239412733746,0.008118033671436181,0.1,6.0,0.1,3.0,0.00020398716230593858,2.8446639813411436,1.8385485482449868,-0.03905404565089961,0.02515198235955058
0,6.742849023038655,-0.9503685501255594,0.007689933710931046,0.1,6.0,0.1,4.0,0.00020514140981185485,2.585997453878508,2.059767539076517,-0.03629572530428031,0.025524047341751337
0,6.588547603618663,-0.7708694518800234,0.005933819856922928,0.1,6.0,0.2,1.0,0.00023708089357780807,3.8608295666989387,2.1651860871729975,-0.04285454426363018,0.029515860361693617
0,6.64784626968665,-0.8404250411022658,0.007846833094459021,0.1,6.0,0.2,2.0,0.0002100559597138516,3.2155306571704427,1.785062056215021,-0.041037276550159846,0.02663867194494725
0,6.693358963389294,-0.892835443517006,0.008631341165045603,0.1,6.0,0.2,3.0,0.00020169812744541923,2.8446639813411436,1.724018369885025,-0.03865674524224222,0.02559616827860791
0,6.741981455050977,-0.949170691236441,0.007951470457384868,0.1,6.0,0.2,4.0,0.00020422684232167842,2.585997453878508,1.9895076772768614,-0.03571854136495981,0.026055995858317624
0,6.58668780653092,-0.7683246390634921,0.006716734144144948,0.1,6.0,0.30000000000000004,1.0,0.0002340242838127876,3.8608295666989387,1.9064935988602174,-0.04303844702608529,0.029589322398443717
0,6.646187513601147,-0.8381431533174588,0.008501728056981059,0.1,6.0,0.30000000000000004,2.0,0.0002068755977741766,3.2155306571704427,1.6430839073734562,-0.040828163281367034,0.026974277067177782
0,6.691635380616226,-0.8905300699178964,0.009085566903758335,0.1,6.0,0.30000000000000004,3.0,0.00019970553344048002,2.8446639813411436,1.6335984302559403,-0.03814800885118373,0.02615398193547224
0,6.741502533135703,-0.948480594690551,0.008146650627949836,0.1,6.0,0.30000000000000004,4.0,0.0002036634190767943,2.585997453878508,1.9404305687633723,-0.03509003056351071,0.026654259953981345
0,6.584822276529383,-0.7657738685810083,0.007469308863966809,0.1,6.0,0.4,1.0,0.0002308436924558348,3.8608295666989387,1.7087120163491725,-0.043103053156695124,0.029812255207222603
0,6.644712305623011,-0.8361051443684331,0.009105792123449377,0.1,6.0,0.4,2.0,0.00020386265508397778,3.2155306571704427,1.5303540373591482,-0.04048767657258036,0.02744633316387252
0,6.69029094153367,-0.8887227730321197,0.009467502796666069,0.1,6.0,0.4,3.0,0.00019810656871613276,2.8446639813411436,1.564514585875589,-0.03754080667634897,0.026810657181412734
0,6.741455947962683,-0.9483579681760705,0.008264352510302692,0.1,6.0,0.4,4.0,0.00020349594629503847,2.585997453878508,1.9125474278309713,-0.03443258297419781,0.027298638892443727
0,6.583014967473199,-0.7633046705973201,0.008184074536021352,0.1,6.0,0.5,1.0,0.00022764299659398167,3.8608295666989387,1.5544512032438,-0.04304077444506351,0.030183834092724862
0,6.643482889248039,-0.8343965374241393,0.009648941251320514,0.1,6.0,0.5,2.0,0.00020113427123376147,3.2155306571704427,1.4412575011963917,-0.0400216870352552,0.028044490769244174
0,6.6894064864808485,-0.8875214803119338,0.00976222103676342,0.1,6.0,0.5,3.0,0.00019699370121055028,2.8446639813411436,1.5152314843272316,-0.03685419358919427,0.02754508388959415
0,6.741870719304922,-0.948843563833961,0.00829309223411967,0.1,6.0,0.5,4.0,0.00020375640498503694,2.585997453878508,1.9068953956848618,-0.03377285084261878,0.02796415379531128
0,6.581334622597231,-0.7610110687540557,0.008850945624744977,0.1,6.0,0.6000000000000001,1.0,0.000224537585263475,3.8608295666989387,1.433012736752978,-0.04284730775604034,0.030698361250105766
0,6.642559241981482,-0.8331000443717955,0.010118869657568585,0.1,6.0,0.6000000000000001,2.0,0.00019880978879224654,3.2155306571704427,1.3721889113518126,-0.039441228439544555,0.02875271895792055
0,6.689050546323294,-0.8870180860539421,0.009953999487218437,0.1,6.0,0.6000000000000001,3.0,0.00019644729917111124,2.8446639813411436,1.4851954519938264,-0.0361136528057172,0.02832953373416219
0,6.742755602121605,-0.9499517243309183,0.008222067829462248,0.1,6.0,0.6000000000000001,4.0,0.00020445860137630054,2.585997453878508,1.925613977801998,-0.03314093579297559,0.028621612224950202
0,6.579853136431369,-0.7589913249560261,0.009457203334180403,0.1,6.0,0.7000000000000001,1.0,0.000221652503998119,3.8608295666989387,1.3375894510181907,-0.04252266828657802,0.031344221871941934
0,6.64199562940016,-0.8322908898572634,0.010501434957157774,0.1,6.0,0.7000000000000001,2.0,0.0001970055263845394,3.2155306571704427,1.3209161307521666,-0.03876324615149805,0.029548669240729606
0,6.689271339558959,-0.8872778328462312,0.010027648940029617,0.1,6.0,0.7000000000000001,3.0,0.00019652680256578768,2.8446639813411436,1.4747189465058042,-0.035350761836667084,0.029130116562000662
0,6.74409397837613,-0.9516635020836564,0.00804243050102682,0.1,6.0,0.7000000000000001,4.0,0.0002055931314533379,2.585997453878508,1.9721722638493269,-0.03256883887112126,0.02923891411449484
0,6.578642679501699,-0.7573439919421054,0.009987762799587185,0.1,6.0,0.8,1.0,0.00021911852315787002,3.8608295666989387,1.26378650744724,-0.042072310032711696,0.03210293121106765
0,6.641836185713352,-0.8320307863152432,0.010781377785471835,0.1,6.0,0.8,2.0,0.00019582747551307784,3.2155306571704427,1.2862159222921468,-0.03801105691998972,0.030403426500772147
0,6.690088629968293,-0.8883284694211291,0.009970158573760601,0.1,6.0,0.8,3.0,0.0001972615501569177,2.8446639813411436,1.4849788376803859,-0.03460194789396583,0.02990819906205026
0,6.745840414981343,-0.9539219093417488,0.007748634798938864,0.1,6.0,0.8,4.0,0.00020712375762592356,2.585997453878508,2.0518064022331255,-0.03208817999872308,0.02978314229289451
